AgtId,country_entity
2349,Central African Republic
2329,Central African Republic
2352,Central African Republic
2351,Central African Republic
2350,Central African Republic
2348,Central African Republic
2347,Central African Republic
2194,Central African Republic
2147,Central African Republic
2206,Central African Republic
2191,Central African Republic
2346,Central African Republic
2211,Central African Republic
2205,Central African Republic
2203,Central African Republic
2202,Central African Republic
2199,Central African Republic
2382,Central African Republic
2258,Central African Republic
2253,Central African Republic
2255,Central African Republic
2190,Central African Republic
2257,Central African Republic
2189,Central African Republic
2195,Central African Republic
2209,Central African Republic
2204,Central African Republic
2198,Central African Republic
2256,Central African Republic
2234,Central African Republic
1909,Central African Republic
2196,Central African Republic
2193,Central African Republic
2192,Central African Republic
2197,Central African Republic
1442,Central African Republic
2035,Central African Republic
818,Central African Republic
1659,Central African Republic
2246,Central African Republic
809,Central African Republic
810,Central African Republic
811,Central African Republic
807,Central African Republic
759,Central African Republic
669,Central African Republic
670,Central African Republic
760,Central African Republic
676,Central African Republic
464,Central African Republic
443,Central African Republic
3,Central African Republic
598,Central African Republic
488,Central African Republic
133,Central African Republic
2291,Central African Republic
2449,Chad
804,Chad
762,Chad
761,Chad
1265,Chad
615,Chad
910,Chad
237,Chad
716,Chad
715,Chad
714,Chad
1188,Chad
1071,Chad
1066,Chad
2361,China
792,China
717,China
497,China
234,China
286,China
2074,China
531,China
1811,China
1807,China
1808,China
1809,China
1743,China
1735,China
1742,China
1741,China
1740,China
2045,Colombia
2043,Colombia
1890,Colombia
1937,Colombia
1936,Colombia
1845,Colombia
2127,Colombia
2068,Colombia
1821,Colombia
2065,Colombia
1736,Colombia
1796,Colombia
1655,Colombia
1656,Colombia
1935,Colombia
1548,Colombia
1549,Colombia
1547,Colombia
1368,Colombia
1369,Colombia
1397,Colombia
1398,Colombia
1396,Colombia
1395,Colombia
1394,Colombia
1392,Colombia
1391,Colombia
817,Colombia
815,Colombia
812,Colombia
786,Colombia
827,Colombia
146,Colombia
167,Colombia
153,Colombia
1144,Colombia
157,Colombia
1151,Colombia
159,Colombia
154,Colombia
1150,Colombia
170,Colombia
1142,Colombia
1141,Colombia
1140,Colombia
1138,Colombia
145,Colombia
184,Colombia
1146,Colombia
1543,Colombia
1126,Colombia
1149,Colombia
174,Colombia
1137,Colombia
172,Colombia
1136,Colombia
1139,Colombia
1134,Colombia
1135,Colombia
160,Colombia
161,Colombia
183,Colombia
1133,Colombia
1132,Colombia
165,Colombia
176,Colombia
177,Colombia
178,Colombia
179,Colombia
180,Colombia
1148,Colombia
155,Colombia
1131,Colombia
162,Colombia
1130,Colombia
1129,Colombia
1128,Colombia
1127,Colombia
1145,Colombia
150,Colombia
156,Colombia
171,Colombia
1034,Colombia
1122,Colombia
1124,Colombia
1121,Colombia
1120,Colombia
1119,Colombia
1118,Colombia
1117,Colombia
148,Colombia
919,Colombia
147,Colombia
173,Colombia
1111,Colombia
1110,Colombia
1341,Colombia
1109,Colombia
164,Colombia
1108,Colombia
1107,Colombia
1106,Colombia
1105,Colombia
1104,Colombia
1103,Colombia
1102,Colombia
163,Colombia
1101,Colombia
1100,Colombia
166,Colombia
151,Colombia
158,Colombia
1098,Colombia
149,Colombia
1093,Colombia
1092,Colombia
152,Colombia
1096,Colombia
1091,Colombia
1094,Colombia
1095,Colombia
1099,Colombia
1090,Colombia
1089,Colombia
1088,Colombia
1097,Colombia
920,Colombia
168,Colombia
1083,Colombia
801,Comoros
618,Comoros
1334,Comoros
1715,Comoros
621,Comoros
619,Comoros
620,Comoros
1035,Comoros
887,Costa Rica
720,Cote d'Ivoire
674,Cote d'Ivoire
673,Cote d'Ivoire
1261,Cote d'Ivoire
119,Cote d'Ivoire
701,Cote d'Ivoire
536,Cote d'Ivoire
363,Cote d'Ivoire
489,Cote d'Ivoire
210,Cote d'Ivoire
421,Cote d'Ivoire
200,Cote d'Ivoire
195,Cote d'Ivoire
473,Cote d'Ivoire
436,Cote d'Ivoire
1053,Cote d'Ivoire
208,Cote d'Ivoire
199,Cote d'Ivoire
540,Cote d'Ivoire
1229,Croatia
422,Croatia
1220,Croatia
1219,Croatia
287,Croatia
1218,Croatia
1217,Croatia
563,Croatia
1181,Croatia
1468,Croatia
1215,Croatia
1200,Croatia
324,Croatia
1875,Croatia
1464,Croatia
1463,Croatia
1462,Croatia
1938,Croatia
1461,Croatia
1460,Croatia
1459,Croatia
1458,Croatia
1295,Croatia
1851,Croatia
1882,Croatia
1019,Croatia
1880,Croatia
1888,Croatia
1457,Croatia
1456,Croatia
1455,Croatia
1173,Croatia
1454,Croatia
318,Croatia
1453,Croatia
1651,Croatia
1650,Croatia
1649,Croatia
1879,Croatia
1452,Croatia
1451,Croatia
1648,Croatia
1450,Croatia
1449,Croatia
1647,Croatia
1448,Croatia
2490,Democratic Republic of Congo
2465,Democratic Republic of Congo
2466,Democratic Republic of Congo
2407,Democratic Republic of Congo
2409,Democratic Republic of Congo
2405,Democratic Republic of Congo
2406,Democratic Republic of Congo
2404,Democratic Republic of Congo
2408,Democratic Republic of Congo
2403,Democratic Republic of Congo
2402,Democratic Republic of Congo
2401,Democratic Republic of Congo
1913,Democratic Republic of Congo
2133,Democratic Republic of Congo
793,Democratic Republic of Congo
788,Democratic Republic of Congo
722,Democratic Republic of Congo
1190,Democratic Republic of Congo
671,Democratic Republic of Congo
672,Democratic Republic of Congo
893,Democratic Republic of Congo
895,Democratic Republic of Congo
896,Democratic Republic of Congo
894,Democratic Republic of Congo
404,Democratic Republic of Congo
1303,Democratic Republic of Congo
455,Democratic Republic of Congo
394,Democratic Republic of Congo
623,Democratic Republic of Congo
213,Democratic Republic of Congo
356,Democratic Republic of Congo
319,Democratic Republic of Congo
1043,Democratic Republic of Congo
2451,Democratic Republic of Congo
2538,Democratic Republic of Congo
477,Democratic Republic of Congo
1194,Democratic Republic of Congo
675,Democratic Republic of Congo
1193,Democratic Republic of Congo
1236,Democratic Republic of Congo
236,Democratic Republic of Congo
624,Djibouti
197,Djibouti
245,Djibouti
721,Djibouti
604,East Timor
4,East Timor
294,East Timor
372,East Timor
367,East Timor
141,Ecuador
212,Ecuador
625,Ecuador
626,Ecuador
923,Ecuador
1445,Ecuador
143,Ecuador
924,Ecuador
1444,Ecuador
927,Ecuador
925,Ecuador
926,Ecuador
353,Ecuador
352,Ecuador
424,El Salvador
593,El Salvador
246,El Salvador
552,El Salvador
332,El Salvador
474,El Salvador
1020,El Salvador
465,El Salvador
467,El Salvador
601,El Salvador
456,El Salvador
265,El Salvador
387,El Salvador
393,El Salvador
2098,Eritrea
2097,Eritrea
221,Eritrea
